YearIndex,Rocket_Launches,Rocket_Flow_wan_ton,Elevator_Flow_wan_ton,Total_Flow_wan_ton,E_Rocket_tCO2e,E_Elevator_tCO2e,E_Total_tCO2e,E_Limit_tCO2e,Slack_tCO2e,Cum_Flow_wan_ton
36,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,201705.42635658913,803664.5736434108,2621.5600000001127
37,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,202325.58139534883,803044.4186046512,2705.2600000001125
38,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,202945.73643410852,802424.2635658914,2788.9600000001124
39,396.0,5.9399999999999995,53.699999999999996,59.63999999999999,198000.0,5370.0,203370.0,203565.8914728682,0.0,2848.6000000001122
40,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,204186.0465116279,801183.953488372,2932.300000000112
41,398.0,5.97,53.699999999999996,59.669999999999995,199000.0,5370.0,204370.0,204806.2015503876,0.0,2991.970000000112
42,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,205426.3565891473,799943.6434108526,3075.670000000112
43,408.0,6.12,53.699999999999996,59.81999999999999,204000.0,5370.0,209370.0,206046.511627907,3323.488372092998,3135.490000000112
44,402.0,6.029999999999999,53.699999999999996,59.73,201000.0,5370.0,206370.0,206666.66666666666,0.0,3195.220000000112
45,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,207286.82170542635,798083.1782945737,3278.920000000112
46,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,207906.97674418605,797463.023255814,3362.6200000001118
47,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,208527.13178294574,796842.8682170543,3446.3200000001116
48,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,209147.28682170543,796222.7131782946,3530.0200000001114
49,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,209767.4418604651,795602.5581395349,3613.720000000111
50,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,210387.5968992248,794982.4031007752,3697.420000000111
51,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,211007.7519379845,794362.2480620155,3781.120000000111
52,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,211627.90697674418,793742.0930232558,3864.8200000001107
53,413.0,6.194999999999999,53.699999999999996,59.894999999999996,206500.0,5370.0,211870.0,212248.06201550388,0.0,3924.7150000001106
54,414.0,6.21,53.699999999999996,59.91,207000.0,5370.0,212370.0,212868.21705426357,0.0,3984.6250000001105
55,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,213488.37209302327,791881.6279069767,4068.3250000001103
56,417.0,6.255,53.699999999999996,59.955,208500.0,5370.0,213870.0,214108.52713178296,0.0,4128.280000000111
57,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,214728.68217054263,790641.3178294573,4211.9800000001105
58,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,215348.83720930232,790021.1627906977,4295.68000000011
59,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,215968.99224806202,789401.007751938,4379.38000000011
60,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,216589.1472868217,788780.8527131783,4463.08000000011
61,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,217209.30232558138,788160.6976744186,4546.78000000011
62,424.0,6.359999999999999,53.699999999999996,60.059999999999995,212000.0,5370.0,217370.0,217829.45736434107,0.0,4606.84000000011
63,426.0,6.39,53.699999999999996,60.089999999999996,213000.0,5370.0,218370.0,218449.61240310076,0.0,4666.93000000011
64,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,219069.76744186046,786300.2325581396,4750.63000000011
65,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,219689.92248062015,785680.0775193798,4834.33000000011
66,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,220310.07751937985,785059.9224806202,4918.03000000011
67,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,220930.23255813954,784439.7674418604,5001.73000000011
68,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,221550.38759689924,783819.6124031008,5085.430000000109
69,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,222170.54263565893,783199.457364341,5169.130000000109
70,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,222790.6976744186,782579.3023255814,5252.830000000109
71,436.0,6.54,53.699999999999996,60.239999999999995,218000.0,5370.0,223370.0,223410.8527131783,0.0,5313.070000000109
72,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,224031.00775193798,781338.992248062,5396.770000000109
73,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,224651.16279069768,780718.8372093023,5480.4700000001085
74,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,225271.31782945734,780098.6821705427,5564.170000000108
75,441.0,6.614999999999999,53.699999999999996,60.315,220500.0,5370.0,225870.0,225891.47286821704,0.0,5624.485000000108
76,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,226511.62790697673,778858.3720930233,5708.185000000108
77,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,227131.78294573643,778238.2170542636,5791.8850000001075
78,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,227751.93798449612,777618.0620155039,5875.585000000107
79,446.0,6.6899999999999995,53.699999999999996,60.38999999999999,223000.0,5370.0,228370.0,228372.09302325582,0.0,5935.975000000108
80,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,228992.2480620155,776377.7519379845,6019.6750000001075
81,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,229612.4031007752,775757.5968992248,6103.375000000107
82,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,230232.55813953487,775137.4418604651,6187.075000000107
83,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,230852.71317829457,774517.2868217054,6270.775000000107
84,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,231472.86821705426,773897.1317829457,6354.475000000107
85,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,232093.02325581395,773276.976744186,6438.175000000107
86,454.0,6.81,53.699999999999996,60.51,227000.0,5370.0,232370.0,232713.17829457365,0.0,6498.685000000107
87,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,233333.3333333333,772036.6666666666,6582.385000000107
88,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,233953.488372093,771416.5116279069,6666.085000000106
89,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,234573.6434108527,770796.3565891474,6749.785000000106
90,477.0,7.154999999999999,53.699999999999996,60.855,238500.0,5370.0,243870.0,235193.7984496124,8676.201550387588,6810.640000000106
91,2000.0,30.0,53.699999999999996,83.69999999999999,1000000.0,5370.0,1005370.0,235813.9534883721,769556.046511628,6894.340000000106
